KEY,X,Y,LNPRICE,YEAR97,YEAR98,YEAR99,YEAR00,YEAR01,LNSURAREA,LNNT,NBATH,INSIDE,MONUM,GAS_NOCV,OPENFIRE,GARAGE,DETACHED,SEMIDETA,CORNER,TERRACED,APPARTME,URBATTR,P_ALLOCH,HIGHDS_KM,RAILDS_KM,DRAIL_10,DHIGH_10,SUMOPENHA,SUMAGRHA,SUMURBHA,SUMNATHA,SUMWAHA,DIST_LOCAL,DISTREG_KM,ViewOpenSpace,PresLocOpen25,PresLocOpen50,PresLocOpen100,ISNIEUWBOU
55033,143836,475620,12.95,0,1,0,0,0,7.13,1.79,1,3,0,0,1,0,1,0,0,0,0,0,4,1.2,4.17,0,0,1.1687,0,0,1.1687,0,1.32,.02,1,0,0,0,0
53397,141711,476459,14.03,0,0,0,1,0,7.95,1.61,3,4,0,0,0,1,1,0,0,0,0,0,3,2.07,3.9,0,0,.6524,0,0,.6524,0,1.44,.02,1,0,0,0,0
53396,141711,476459,13.35,1,0,0,0,0,7.33,1.95,1,4,0,0,1,1,1,0,0,0,0,0,3,2.07,3.9,0,0,.6524,0,0,.6524,0,1.44,.02,1,0,0,0,0
46228,141295,479234,14.82,0,0,1,0,0,8.55,2.48,3,5,0,0,0,1,1,0,0,0,0,0,2,1.94,3.02,0,0,2.943,0,0,2.943,0,1.46,0,1,0,0,0,0
63463,141952,471190,12.41,0,0,0,1,0,4.94,1.79,1,5,0,0,0,0,0,0,0,1,0,.2108,6,2.41,1,0,0,.5529,0,.5529,0,0,1.5,.5,1,0,0,0,0
44747,138843,479994,13.12,0,0,0,1,0,6.15,1.61,2,4,0,0,0,1,0,1,0,0,0,0,4,.16,3.07,0,0,1.3204,0,.748,0,.5724,1.58,.3,1,0,0,0,0
44746,138843,479994,12.54,1,0,0,0,0,6.15,1.61,1,4,0,0,0,1,0,1,0,0,0,0,4,.16,3.07,0,0,1.3204,0,.748,0,.5724,1.58,.3,1,0,0,0,0
46226,141235,479372,14.53,0,0,0,1,0,8.12,1.95,3,5,0,0,1,1,1,0,0,0,0,0,2,2.08,3.09,0,0,3.0044,.7878,0,2.2166,0,1.77,0,1,0,0,0,0
46225,141235,479372,13.61,1,0,0,0,0,8.2,1.95,2,5,0,0,1,1,1,0,0,0,0,0,2,2.08,3.09,0,0,3.0044,.7878,0,2.2166,0,1.77,0,1,0,0,0,0
44645,145487,480159,11.54,1,0,0,0,0,4.25,1.1,0,4,0,0,0,1,0,0,0,0,1,0,6,3.48,6.96,0,0,.4588,0,0,0,.4588,1.93,.47,1,0,0,0,0
49301,140690,478340,12.77,0,0,0,1,0,6.01,1.61,1,4,0,0,1,0,0,1,0,0,0,0,4,1.12,1.95,0,1,2.6714,2.3424,0,.329,0,1.96,.02,1,0,0,0,0
57817,145133,474282,14.02,0,0,1,0,0,7.29,1.61,2,5,0,0,1,0,1,0,0,0,0,0,2,.58,5.13,0,0,.6602,.6268,.0255,.0079,0,1.96,.9,1,0,0,0,0
64333,139635,470324,12.64,0,0,1,0,0,5.42,1.79,1,4,0,0,1,0,0,1,0,0,0,.2879,3,2.92,1.48,0,0,1.5697,0,1.2592,0,.3105,2.23,.67,1,0,0,0,0
49280,139462,478478,12.12,1,0,0,0,0,4.5,1.39,1,4,0,0,0,0,0,0,0,1,0,.1054,4,1.45,1.52,0,0,1.4468,0,.6541,0,.7927,2.42,0,1,0,0,0,0
63470,142123,471146,12.21,0,0,1,0,0,4.96,1.79,1,4,0,0,1,0,0,0,0,1,0,0,6,2.28,1.15,0,0,1.1093,0,1.1093,0,0,2.5,.34,1,0,0,0,0
63467,142063,471163,12.06,0,1,0,0,0,4.96,1.79,1,3,0,1,0,0,0,0,0,1,0,0,6,2.32,1.09,0,0,1.019,0,1.019,0,0,2.5,.39,1,0,0,0,0
63466,142053,471166,12.1,0,1,0,0,0,4.96,2.08,1,3,0,0,0,0,0,0,0,1,0,0,6,2.33,1.09,0,0,1.0183,0,1.0183,0,0,2.6,.4,1,0,0,0,0
62582,146121,471151,13.94,0,0,1,0,0,8.85,1.39,1,5,0,0,0,1,0,1,0,0,0,0,2,.42,2.75,0,0,2.3519,2.2913,0,0,.0606,2.75,0,1,0,0,0,0
64323,139399,470416,12.38,1,0,0,0,0,5.63,1.61,2,4,0,0,0,1,0,0,1,0,0,.2108,3,3.17,1.67,0,0,1.2695,0,.9688,0,.3007,2.76,.43,1,0,0,0,0
54885,138663,475733,13.81,0,1,0,0,0,7.64,2.2,1,3,0,0,0,1,1,0,0,0,0,.2108,4,2.75,1.06,0,0,1.6433,1.6433,0,0,0,2.77,0,1,0,0,0,0
47808,139100,478802,12.65,0,0,1,0,0,5.78,1.61,1,4,0,0,0,1,0,1,0,0,0,.1054,10,1.02,1.85,0,0,1.6612,0,1.0004,0,.6608,2.79,0,1,0,0,0,0
59561,139060,472600,14.31,0,0,0,0,1,7.91,1.61,1,5,0,0,1,1,1,0,0,0,0,0,2,4.15,1.45,0,0,1.5153,0,0,1.5153,0,2.8,0,1,0,0,0,0
64332,139571,470360,13.21,0,0,0,1,0,6.26,1.95,1,4,0,0,0,1,0,1,0,0,0,.2879,3,2.99,1.52,0,0,1.4263,0,1.1653,0,.261,2.98,.59,1,0,0,0,0
44745,138770,480002,12.8,1,0,0,0,0,2.3,1.61,1,4,0,0,0,1,1,0,0,0,0,0,4,.2,3.09,0,0,1.4815,0,.9518,0,.5297,3.29,.34,1,0,0,0,0
63472,142160,471137,12.4,0,0,1,0,0,4.96,1.79,1,4,0,0,1,0,0,0,0,1,0,0,6,2.25,1.18,0,0,1.0135,0,1.0135,0,0,3.38,.3,1,0,0,0,0
51787,139831,477476,12,0,1,0,0,0,4.62,1.61,1,4,0,0,0,0,0,0,1,0,0,.2108,2,1.66,2.43,0,0,.2028,0,0,0,.2028,3.4,.26,1,0,0,0,0
51786,139831,477476,11.95,0,1,0,0,0,4.65,1.39,1,4,0,0,0,0,0,0,1,0,0,.2108,2,1.66,2.43,0,0,.2028,0,0,0,.2028,3.4,.26,1,0,0,0,0
44671,145686,480131,11.95,0,1,0,0,0,4.55,1.39,1,4,0,0,0,1,0,0,0,0,1,0,6,3.37,7.12,0,0,1.0138,0,0,0,1.0138,3.41,.67,1,0,0,0,0
49291,139538,478410,12.25,0,0,1,0,0,4.66,1.61,1,5,0,0,0,0,0,0,0,1,0,.1054,4,1.54,1.47,0,0,1.9212,0,1.4674,0,.4538,3.44,0,1,0,0,0,0
49292,139538,478410,12.03,0,1,0,0,0,4.66,1.61,1,5,0,0,0,0,0,0,0,1,0,.1054,4,1.54,1.47,0,0,1.9212,0,1.4674,0,.4538,3.44,0,1,0,0,0,0
52866,140420,476089,12.86,0,0,0,0,1,5.71,1.61,1,4,0,0,0,1,0,1,0,0,0,.2545,6,1.08,1.01,0,0,1.4805,0,1.4805,0,0,3.46,0,1,0,0,0,0
64755,137154,470163,12.49,0,0,1,0,0,5.67,1.61,1,4,0,0,1,1,0,1,0,0,0,0,6,4.96,3.87,0,1,.8396,0,.7588,0,.0808,3.54,0,1,0,0,0,0
64740,137244,470199,11.77,0,0,1,0,0,4.17,1.1,2,4,0,0,0,0,0,0,0,0,1,0,6,4.91,3.77,0,1,1.3407,.0265,.9689,0,.3453,3.55,0,1,0,0,0,0
44663,145651,480136,11.98,0,0,1,0,0,4.17,1.1,1,4,0,0,0,1,0,0,0,0,1,0,6,3.38,7.09,0,0,1.106,0,0,0,1.106,3.59,.64,1,0,0,0,0
44668,145671,480133,12.2,0,0,0,1,0,4.61,1.39,1,5,0,0,0,0,0,0,0,0,1,0,6,3.37,7.11,0,0,1.0827,0,0,0,1.0827,3.63,.66,1,0,0,0,0
44667,145671,480133,11.77,1,0,0,0,0,4.5,1.39,1,5,0,0,0,0,0,0,0,0,1,0,6,3.37,7.11,0,0,1.0827,0,0,0,1.0827,3.63,.66,1,0,0,0,0
44672,145691,480130,12,0,0,1,0,0,4.25,1.1,2,4,0,0,0,1,0,0,0,0,1,0,6,3.36,7.13,0,0,.9804,0,0,0,.9804,3.66,.68,1,0,0,0,0
64742,137235,470197,11.66,0,1,0,0,0,4.38,1.1,1,4,0,0,0,0,0,0,0,0,1,0,6,4.91,3.78,0,1,1.2932,.0202,.9317,0,.3413,3.66,0,1,0,0,0,0
44661,145636,480138,11.98,0,0,1,0,0,4.17,1.1,1,4,0,0,0,0,0,0,0,0,1,0,6,3.39,7.08,0,0,1.0704,0,0,0,1.0704,3.81,.62,1,0,0,0,0
44662,145636,480138,11.58,1,0,0,0,0,4.32,1.1,0,4,0,0,0,0,0,0,0,0,1,0,6,3.39,7.08,0,0,1.0704,0,0,0,1.0704,3.81,.62,1,0,0,0,0
